+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------------+-------+--------+---------+-------+-------+--------+--------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX   |   SUM   |  AVG  |  P1   |  P50   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------------+-------+--------+---------+-------+-------+--------+--------+--------+------------+------------+--------------+------------+
|   255 |   0 |   0 | 220 |  35 |   0 | POST   | /login                                              | 0.004 |  3.003 | 185.723 | 0.728 | 0.005 |  0.139 |  2.872 |  1.133 |      0.000 |      0.000 |        0.000 |      0.000 |
|   137 |   0 |  61 |   0 |  76 |   0 | GET    | /fetch                                              | 0.003 | 10.039 | 759.172 | 5.541 | 0.003 | 10.014 |  0.692 |  3.641 |      0.000 |   3008.000 |   183474.000 |   1339.226 |
|   126 |   0 | 125 |   0 |   1 |   0 | GET    | /message                                            | 0.003 |  8.347 | 352.549 | 2.798 | 0.003 |  7.690 |  0.855 |  3.064 |      2.000 |  52455.000 |   216643.000 |   1719.389 |
|   103 |   0 | 103 |   0 |   0 |   0 | GET    | /css/main.css                                       | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 |   1741.000 |   1741.000 |   179323.000 |   1741.000 |
|   103 |   0 | 103 |   0 |   0 |   0 | GET    | /js/jquery.min.js                                   | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  86659.000 |  86659.000 |  8925877.000 |  86659.000 |
|   103 |   0 | 103 |   0 |   0 |   0 | GET    | /js/tether.min.js                                   | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  24632.000 |  24632.000 |  2537096.000 |  24632.000 |
|   103 |   0 | 103 |   0 |   0 |   0 | GET    | /js/bootstrap.min.js                                | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  46653.000 |  46653.000 |  4805259.000 |  46653.000 |
|   103 |   0 | 103 |   0 |   0 |   0 | GET    | /css/bootstrap.min.css                              | 0.000 |  0.049 |   0.139 | 0.001 | 0.000 |  0.000 |  0.000 |  0.005 | 150996.000 | 150996.000 | 15552588.000 | 150996.000 |
|   102 |   0 | 102 |   0 |   0 |   0 | GET    | /fonts/glyphicons-halflings-regular.eot             | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 |  20127.000 |  20127.000 |  2052954.000 |  20127.000 |
